id,function_id,base_field_label,rational_periodic_points,graph_id
224,131,1.1.1.1,"{{1,0}}",2
225,133,1.1.1.1,"{{1,0}}",2
226,134,1.1.1.1,"{{1,0},{1,1}}",14
227,135,1.1.1.1,"{{1,0}}",2
228,138,1.1.1.1,"{{1,0}}",2
229,139,1.1.1.1,"{{1,0}}",2
230,140,1.1.1.1,"{{-1,1},{1,0}}",14
231,142,1.1.1.1,"{{1,0},{0,1}}",17
232,143,1.1.1.1,"{{1,0}}",2
233,144,1.1.1.1,"{{-2,1},{1,0},{1,1}}",18
235,16,1.1.1.1,"{{1/2,1},{1,0}}",6
236,17,1.1.1.1,"{{1,0}}",2
237,4,1.1.1.1,"{{1,0}}",2
238,5,1.1.1.1,"{{1,0}}",2
239,117,1.1.1.1,"{{1,0}}",2
240,118,1.1.1.1,"{{1,0}}",2
241,119,1.1.1.1,"{{1,0}}",2
242,121,1.1.1.1,"{{-1,1},{1,0}}",14
243,122,1.1.1.1,"{{1,0}}",2
244,123,1.1.1.1,"{{1,0}}",2
245,125,1.1.1.1,"{{1,0},{1,1}}",15
246,126,1.1.1.1,"{{1,0}}",2
247,127,1.1.1.1,"{{1,0}}",2
248,129,1.1.1.1,"{{1,0}}",2
249,130,1.1.1.1,"{{-1,1},{1,0}}",14
250,131,1.1.1.1,"{{1,0}}",2
251,133,1.1.1.1,"{{1,0}}",2
252,134,1.1.1.1,"{{1,0},{1,1}}",14
253,135,1.1.1.1,"{{1,0}}",2
254,138,1.1.1.1,"{{1,0}}",2
255,139,1.1.1.1,"{{1,0}}",2
256,140,1.1.1.1,"{{-1,1},{1,0}}",14
257,142,1.1.1.1,"{{1,0},{0,1}}",17
258,143,1.1.1.1,"{{1,0}}",2
259,144,1.1.1.1,"{{-2,1},{1,0},{1,1}}",18
265,16,1.1.1.1,"{{1/2,1},{1,0}}",6
266,17,1.1.1.1,"{{1,0}}",2
267,4,1.1.1.1,"{{1,0}}",2
268,5,1.1.1.1,"{{1,0}}",2
269,117,1.1.1.1,"{{1,0}}",2
270,118,1.1.1.1,"{{1,0}}",2
271,119,1.1.1.1,"{{1,0}}",2
272,121,1.1.1.1,"{{-1,1},{1,0}}",14
273,122,1.1.1.1,"{{1,0}}",2
274,123,1.1.1.1,"{{1,0}}",2
275,125,1.1.1.1,"{{1,0},{1,1}}",15
276,126,1.1.1.1,"{{1,0}}",2
277,127,1.1.1.1,"{{1,0}}",2
278,129,1.1.1.1,"{{1,0}}",2
279,130,1.1.1.1,"{{-1,1},{1,0}}",14
280,131,1.1.1.1,"{{1,0}}",2
281,133,1.1.1.1,"{{1,0}}",2
282,134,1.1.1.1,"{{1,0},{1,1}}",14
283,135,1.1.1.1,"{{1,0}}",2
284,138,1.1.1.1,"{{1,0}}",2
285,139,1.1.1.1,"{{1,0}}",2
286,140,1.1.1.1,"{{-1,1},{1,0}}",14
287,142,1.1.1.1,"{{1,0},{0,1}}",17
288,143,1.1.1.1,"{{1,0}}",2
289,144,1.1.1.1,"{{-2,1},{1,0},{1,1}}",18
295,16,1.1.1.1,"{{1/2,1},{1,0}}",6
296,17,1.1.1.1,"{{1,0}}",2
297,4,1.1.1.1,"{{1,0}}",2
298,5,1.1.1.1,"{{1,0}}",2
299,117,1.1.1.1,"{{1,0}}",2
300,118,1.1.1.1,"{{1,0}}",2
301,119,1.1.1.1,"{{1,0}}",2
302,121,1.1.1.1,"{{-1,1},{1,0}}",14
303,122,1.1.1.1,"{{1,0}}",2
304,123,1.1.1.1,"{{1,0}}",2
305,125,1.1.1.1,"{{1,0},{1,1}}",15
306,126,1.1.1.1,"{{1,0}}",2
307,127,1.1.1.1,"{{1,0}}",2
308,129,1.1.1.1,"{{1,0}}",2
309,130,1.1.1.1,"{{-1,1},{1,0}}",14
310,131,1.1.1.1,"{{1,0}}",2
311,133,1.1.1.1,"{{1,0}}",2
312,134,1.1.1.1,"{{1,0},{1,1}}",14
313,135,1.1.1.1,"{{1,0}}",2
314,138,1.1.1.1,"{{1,0}}",2
315,139,1.1.1.1,"{{1,0}}",2
316,140,1.1.1.1,"{{-1,1},{1,0}}",14
317,142,1.1.1.1,"{{1,0},{0,1}}",17
318,143,1.1.1.1,"{{1,0}}",2
319,144,1.1.1.1,"{{-2,1},{1,0},{1,1}}",18
320,159,1.1.1.1,"{{0,1},{1,0},{1,1}}",25
321,160,1.1.1.1,"{{-2,1}}",9
322,161,1.1.1.1,{},10
323,162,1.1.1.1,"{{1,0}}",26
324,163,1.1.1.1,"{{0,1},{1,0}}",11
