label,degree,defn_poly_coeffs,signature,conductor,discriminant,class_number
2.0.760.1,2,"{190,0,1}","{0,1}",760,4,-760
2.2.764.1,2,"{-191,0,1}","{2,0}",764,1,764
2.0.191.1,2,"{48,-1,1}","{0,1}",191,13,-191
2.2.193.1,2,"{-48,-1,1}","{2,0}",193,1,193
2.0.772.1,2,"{193,0,1}","{0,1}",772,4,-772
2.2.776.1,2,"{-194,0,1}","{2,0}",776,2,776
2.0.776.1,2,"{194,0,1}","{0,1}",776,20,-776
2.2.780.1,2,"{-195,0,1}","{2,0}",780,4,780
2.0.195.1,2,"{49,-1,1}","{0,1}",195,4,-195
2.2.197.1,2,"{-49,-1,1}","{2,0}",197,1,197
2.0.788.1,2,"{197,0,1}","{0,1}",788,10,-788
2.2.796.1,2,"{-199,0,1}","{2,0}",796,1,796
2.0.199.1,2,"{50,-1,1}","{0,1}",199,9,-199
3.1.31.1,3,"{-1,1,0,1}","{1,1}",1,-31,
3.1.59.1,3,"{-1,2,0,1}","{1,1}",1,-59,
3.1.135.1,3,"{-1,3,0,1}","{1,1}",1,-135,
3.1.283.1,3,"{-1,4,0,1}","{1,1}",2,-283,
3.1.527.1,3,"{-1,5,0,1}","{1,1}",1,-527,
3.1.891.1,3,"{-1,6,0,1}","{1,1}",3,-891,
3.1.1399.1,3,"{-1,7,0,1}","{1,1}",2,-1399,
3.1.83.1,3,"{-2,1,-1,1}","{1,1}",1,-83,
3.1.327.1,3,"{-3,-2,-1,1}","{1,1}",1,-327,
3.1.23.1,3,"{1,0,-1,1}","{1,1}",1,-23,
3.1.76.1,3,"{-2,-2,0,1}","{1,1}",1,-76,
3.1.199.1,3,"{-1,4,-1,1}","{1,1}",1,-199,
3.1.104.1,3,"{-2,-1,0,1}","{1,1}",1,-104,
3.1.751.1,3,"{-1,6,-1,1}","{1,1}",2,-751,
3.1.1228.1,3,"{-1,7,-1,1}","{1,1}",3,-1228,
3.1.1871.1,3,"{-1,8,-1,1}","{1,1}",1,-1871,
3.1.676.1,3,"{12,-4,-1,1}","{1,1}",3,-676,
3.1.107.1,3,"{-2,3,-1,1}","{1,1}",1,-107,
3.1.563.1,3,"{-4,5,-1,1}","{1,1}",2,-563,
3.1.983.1,3,"{-5,6,-1,1}","{1,1}",1,-983,
3.1.1563.1,3,"{-6,7,-1,1}","{1,1}",5,-1563,
3.1.2327.1,3,"{-7,8,-1,1}","{1,1}",2,-2327,
3.1.140.1,3,"{-2,2,0,1}","{1,1}",1,-140,
3.1.351.1,3,"{-3,3,0,1}","{1,1}",1,-351,
3.1.172.1,3,"{3,-1,-1,1}","{1,1}",1,-172,
3.1.1175.1,3,"{-5,5,0,1}","{1,1}",1,-1175,
3.1.1836.1,3,"{-6,6,0,1}","{1,1}",3,-1836,
3.1.139.1,3,"{2,1,-1,1}","{1,1}",1,-139,
3.1.367.1,3,"{3,2,-1,1}","{1,1}",1,-367,
3.1.731.1,3,"{4,3,-1,1}","{1,1}",2,-731,
3.1.1255.1,3,"{5,4,-1,1}","{1,1}",2,-1255,
3.3.49.1,3,"{1,-2,-1,1}","{3,0}",7,1,49
3.1.44.1,3,"{1,1,-1,1}","{1,1}",1,-44,
3.1.255.1,3,"{-3,0,-1,1}","{1,1}",1,-255,
3.1.152.1,3,"{-2,-2,-1,1}","{1,1}",1,-152,
3.3.257.1,3,"{3,-4,-1,1}","{3,0}",1,257,
3.3.229.1,3,"{-1,-4,0,1}","{3,0}",1,229,
3.3.81.1,3,"{-1,-3,0,1}","{3,0}",9,1,81
3.3.697.1,3,"{-5,-7,0,1}","{3,0}",1,697,
3.3.788.1,3,"{-3,-7,-1,1}","{3,0}",1,788,
3.3.1489.1,3,"{-7,-10,-1,1}","{3,0}",1,1489,
3.1.108.1,3,"{-2,0,0,1}","{1,1}",1,-108,
3.1.116.1,3,"{-2,0,-1,1}","{1,1}",1,-116,
3.1.324.1,3,"{-4,-3,0,1}","{1,1}",1,-324,
3.1.620.1,3,"{-5,-5,-1,1}","{1,1}",1,-620,
3.1.1108.1,3,"{14,-8,-1,1}","{1,1}",1,-1108,
3.1.204.1,3,"{-3,1,-1,1}","{1,1}",1,-204,
3.1.2852.1,3,"{-4,14,0,1}","{1,1}",1,-2852,
3.1.4204.1,3,"{-4,16,0,1}","{1,1}",2,-4204,
3.1.5940.1,3,"{-4,18,0,1}","{1,1}",1,-5940,
3.1.211.1,3,"{-3,-2,0,1}","{1,1}",1,-211,
3.1.907.1,3,"{12,-7,-1,1}","{1,1}",1,-907,
3.1.1588.1,3,"{-16,-11,0,1}","{1,1}",2,-1588,
3.1.2555.1,3,"{-4,14,-1,1}","{1,1}",1,-2555,
3.1.964.1,3,"{-12,-2,0,1}","{1,1}",1,-964,
3.1.5539.1,3,"{-4,18,-1,1}","{1,1}",1,-5539,
3.1.300.1,3,"{-3,-3,-1,1}","{1,1}",1,-300,
3.1.680.1,3,"{10,-6,-1,1}","{1,1}",1,-680,
3.1.1292.1,3,"{-14,-10,0,1}","{1,1}",1,-1292,
3.1.2184.1,3,"{-9,13,-1,1}","{1,1}",1,-2184,
3.1.3404.1,3,"{-11,15,-1,1}","{1,1}",1,-3404,
3.1.200.1,3,"{2,2,-1,1}","{1,1}",1,-200,
3.1.216.1,3,"{-2,3,0,1}","{1,1}",1,-216,
3.1.451.1,3,"{8,-5,-1,1}","{1,1}",1,-451,
3.1.243.1,3,"{-3,0,0,1}","{1,1}",1,-243,
3.1.1763.1,3,"{-8,11,0,1}","{1,1}",1,-1763,
3.1.2872.1,3,"{-10,13,0,1}","{1,1}",1,-2872,
3.1.4347.1,3,"{-12,15,0,1}","{1,1}",1,-4347,
3.1.364.1,3,"{-2,4,0,1}","{1,1}",1,-364,
3.1.212.1,3,"{-2,4,-1,1}","{1,1}",1,-212,
3.1.244.1,3,"{-6,1,0,1}","{1,1}",1,-244,
3.1.652.1,3,"{5,7,-1,1}","{1,1}",1,-652,
3.1.1316.1,3,"{7,9,-1,1}","{1,1}",1,-1316,
3.1.2284.1,3,"{9,11,-1,1}","{1,1}",2,-2284,
3.1.3604.1,3,"{11,13,-1,1}","{1,1}",1,-3604,
3.1.411.1,3,"{-2,5,-1,1}","{1,1}",1,-411,
3.1.356.1,3,"{7,1,-1,1}","{1,1}",1,-356,
3.1.867.1,3,"{-12,6,-1,1}","{1,1}",1,-867,
3.1.2795.1,3,"{-20,10,-1,1}","{1,1}",1,-2795,
3.1.728.1,3,"{-2,6,-1,1}","{1,1}",1,-728,
3.1.460.1,3,"{-3,5,-1,1}","{1,1}",1,-460,
3.1.440.1,3,"{-8,2,0,1}","{1,1}",1,-440,
3.1.1036.1,3,"{-12,4,0,1}","{1,1}",1,-1036,
3.1.1480.1,3,"{-2,7,0,1}","{1,1}",1,-1480,
